customer_id,order_date,order_amount,category,true_segment
1,2025-12-16,100.06,home_goods,champion
1,2025-12-25,84.35,electronics,champion
1,2026-01-05,120.29,apparel,champion
1,2026-02-15,103.63,grocery,champion
1,2026-02-17,96.03,apparel,champion
1,2026-02-18,92.94,sports,champion
1,2026-03-10,105.79,books,champion
1,2026-03-18,108.54,electronics,champion
1,2026-03-20,98.33,apparel,champion
1,2026-04-01,84.82,grocery,champion
1,2026-04-13,88.64,electronics,champion
1,2026-04-14,86.26,apparel,champion
1,2026-05-01,97.22,home_goods,champion
1,2026-05-16,95.39,home_goods,champion
2,2025-05-15,51.77,grocery,champion
2,2025-07-13,49.79,beauty,champion
2,2025-09-15,53.14,apparel,champion
2,2025-09-19,28.38,beauty,champion
2,2025-10-02,63.42,books,champion
2,2025-11-12,88.27,electronics,champion
2,2025-11-14,61.33,beauty,champion
2,2025-11-29,43.74,apparel,champion
2,2025-12-01,61.33,home_goods,champion
2,2025-12-17,69.68,grocery,champion
2,2026-01-22,56.96,home_goods,champion
2,2026-03-31,47.38,home_goods,champion
2,2026-04-09,60.54,apparel,champion
2,2026-04-11,58.96,grocery,champion
2,2026-04-13,63.98,grocery,champion
2,2026-05-07,73.4,books,champion
2,2026-05-26,48.31,beauty,champion
2,2026-05-27,57.28,apparel,champion
2,2026-06-09,62.16,beauty,champion
3,2025-03-25,116.33,home_goods,champion
3,2025-04-03,109.9,apparel,champion
3,2025-04-08,114.16,apparel,champion
3,2025-04-25,118.49,beauty,champion
3,2025-07-05,96.02,apparel,champion
3,2025-07-07,116.44,home_goods,champion
3,2025-07-10,128.67,home_goods,champion
3,2025-07-23,82.13,grocery,champion
3,2025-08-22,110.08,books,champion
3,2025-10-07,123.37,apparel,champion
3,2025-10-17,80.35,grocery,champion
3,2025-10-27,125.0,beauty,champion
3,2025-11-25,115.31,home_goods,champion
3,2025-12-19,111.76,beauty,champion
3,2025-12-24,100.76,apparel,champion
3,2026-01-17,123.79,home_goods,champion
3,2026-01-24,151.37,electronics,champion
3,2026-03-22,99.96,apparel,champion
3,2026-03-23,119.09,grocery,champion
3,2026-03-29,111.5,grocery,champion
3,2026-03-31,103.02,sports,champion
4,2024-11-16,71.56,sports,champion
4,2025-01-02,61.02,electronics,champion
4,2025-03-01,55.7,apparel,champion
4,2025-04-06,90.05,electronics,champion
4,2025-04-15,65.76,apparel,champion
